stop_id,latitude,longitude
0_600;0_643,42.25434490000038,-71.8147349500043
0_607;0_612,42.24764990003139,-71.8269749499866
0_603;0_614,42.25138500006277,-71.82004990000948
0_644;0_599,42.25555005004459,-71.81235005015829
0_604;0_642,42.24983005003636,-71.8229400001563
0_601;0_616,42.25348995006424,-71.81612990024651
0_621;0_246,42.26308225030624,-71.80194505000942
0_608;0_611,42.24678495029571,-71.82854000039005
0_602;0_615,42.25229500016839,-71.81835495050892
0_646;0_596,42.25789505029758,-71.80788000071935
0_617;0_597,42.25655995043654,-71.81039495104548
0_609;0_640,42.245612100847545,-71.83096970105859
0_637;0_576,42.24476920145764,-71.83493825055515
0_605,42.2492799,-71.82404
0_619,42.2588,-71.8061699
0_641,42.24834989999999,-71.8255701
0_647,42.25985989999999,-71.8047401
0_243,42.261780099999996,-71.80148999999999
0_3103,42.26110990000001,-71.7998699
0_1182,42.26081990000001,-71.80386
0_3130,42.2608983,-71.7966625
